job_id,title,company,description,required_skills,experience_required,min_qualification,location,salary_range,job_type
1,AI Research Intern,DataSolutions Inc,Seeking a talented AI Research Intern to join our innovative team. Great career growth and learning opportunities.,"Python, Machine Learning, Research, PyTorch, Mathematics, Deep Learning, NLP",5.2,B.Tech,Noida,7-23 LPA,Internship
2,Backend Developer,Red Hat,Seeking a talented Backend Developer to join our innovative team. Great career growth and learning opportunities.,"Java, Spring Boot, MySQL, REST API, Microservices, Docker, Kafka",3.0,BCA,Delhi,9-27 LPA,Internship
3,Performance Engineer,DataSolutions Inc,Seeking a talented Performance Engineer to join our innovative team. Great career growth and learning opportunities.,"Performance Testing, JMeter, LoadRunner, Python, Monitoring, Optimization",3.9,Any Graduate,Nagpur,16-27 LPA,Contract
4,Release Engineer,Wipro,Seeking a talented Release Engineer to join our innovative team. Great career growth and learning opportunities.,"CI/CD, Jenkins, Git, Docker, Release Management, Automation, Linux",5.7,BCA,Chennai,16-30 LPA,Full-time
5,Web Developer,AlphaCode,Seeking a talented Web Developer to join our innovative team. Great career growth and learning opportunities.,"HTML, CSS, JavaScript, PHP, MySQL, WordPress, jQuery, Bootstrap",6.7,MCA,Hyderabad,5-32 LPA,Full-time
6,IoT Engineer,Cognizant,Seeking a talented IoT Engineer to join our innovative team. Great career growth and learning opportunities.,"Embedded Systems, Arduino, Raspberry Pi, C, Python, MQTT, Sensors",4.2,BCA,Indore,20-23 LPA,Contract
7,Backend Developer,Cisco,Seeking a talented Backend Developer to join our innovative team. Great career growth and learning opportunities.,"Java, Spring Boot, MySQL, REST API, Microservices, Docker, Kafka",2.1,Any Graduate,Visakhapatnam,14-38 LPA,Full-time
8,Frontend Developer,AI Innovations,Seeking a talented Frontend Developer to join our innovative team. Great career growth and learning opportunities.,"JavaScript, React, HTML, CSS, TypeScript, Redux, Webpack, Tailwind",4.6,MCA,Delhi,10-23 LPA,Contract
9,Business Analyst,Adobe,Seeking a talented Business Analyst to join our innovative team. Great career growth and learning opportunities.,"SQL, Excel, Business Intelligence, Requirements Analysis, Communication, Agile",4.4,MCA,Chennai,14-31 LPA,Full-time
10,Business Analyst,GitLab,Seeking a talented Business Analyst to join our innovative team. Great career growth and learning opportunities.,"SQL, Excel, Business Intelligence, Requirements Analysis, Communication, Agile",6.6,Any Graduate,Delhi,8-37 LPA,Full-time
11,Data Analyst,Adobe,Seeking a talented Data Analyst to join our innovative team. Great career growth and learning opportunities.,"Python, SQL, Excel, Tableau, Power BI, Statistics, Pandas, Data Visualization",2.7,Any Graduate,Nagpur,10-30 LPA,Full-time
12,Database Administrator,AI Innovations,Seeking a talented Database Administrator to join our innovative team. Great career growth and learning opportunities.,"SQL, PostgreSQL, MySQL, MongoDB, Database Optimization, Backup Recovery, Redis",5.6,M.Tech,Gurugram,5-26 LPA,Internship
13,Game Developer,AlphaCode,Seeking a talented Game Developer to join our innovative team. Great career growth and learning opportunities.,"Unity, C#, Unreal Engine, C++, Game Design, 3D Modeling, Physics",4.6,M.Tech,Indore,7-28 LPA,Full-time
14,Quality Assurance Engineer,Square,Seeking a talented Quality Assurance Engineer to join our innovative team. Great career growth and learning opportunities.,"Selenium, Testing, Java, Python, Automation, JIRA, Manual Testing",3.9,MCA,Coimbatore,16-38 LPA,Contract
15,Network Engineer,BetaWorks,Seeking a talented Network Engineer to join our innovative team. Great career growth and learning opportunities.,"Networking, Cisco, TCP/IP, Routing, Switching, Firewalls, VPN",7.0,B.Tech,Bhopal,18-22 LPA,Full-time
16,AI Research Intern,FutureSoft,Seeking a talented AI Research Intern to join our innovative team. Great career growth and learning opportunities.,"Python, Machine Learning, Research, PyTorch, Mathematics, Deep Learning, NLP",4.4,Any Graduate,Kochi,5-32 LPA,Contract
17,Performance Engineer,Adobe,Seeking a talented Performance Engineer to join our innovative team. Great career growth and learning opportunities.,"Performance Testing, JMeter, LoadRunner, Python, Monitoring, Optimization",3.7,B.Sc CS,Bangalore,6-37 LPA,Full-time
18,Blockchain Developer,SmartTech,Seeking a talented Blockchain Developer to join our innovative team. Great career growth and learning opportunities.,"Solidity, Ethereum, Smart Contracts, Web3, Cryptography, JavaScript",2.1,B.Tech,Indore,3-28 LPA,Internship
19,Cloud Engineer,IBM,Seeking a talented Cloud Engineer to join our innovative team. Great career growth and learning opportunities.,"AWS, Azure, Google Cloud, Terraform, Kubernetes, Linux, Networking, Python",6.4,Any Graduate,Kolkata,19-39 LPA,Full-time
20,Web Developer,Amazon,Seeking a talented Web Developer to join our innovative team. Great career growth and learning opportunities.,"HTML, CSS, JavaScript, PHP, MySQL, WordPress, jQuery, Bootstrap",5.3,B.Sc CS,Bhopal,3-39 LPA,Full-time
21,API Developer,DataSolutions Inc,Seeking a talented API Developer to join our innovative team. Great career growth and learning opportunities.,"REST API, GraphQL, Node.js, Python, API Design, Swagger, Postman",0.8,MCA,Kolkata,10-21 LPA,Full-time
22,Platform Engineer,CodeFactory,Seeking a talented Platform Engineer to join our innovative team. Great career growth and learning opportunities.,"Kubernetes, Docker, Terraform, AWS, Infrastructure, Python, Monitoring",0.6,M.Tech,Delhi,20-24 LPA,Full-time
23,Scrum Master,Cisco,Seeking a talented Scrum Master to join our innovative team. Great career growth and learning opportunities.,"Agile, Scrum, JIRA, Leadership, Communication, Project Management, Facilitation",1.2,B.Sc CS,Visakhapatnam,16-26 LPA,Internship
24,Mobile App Developer,PayPal,Seeking a talented Mobile App Developer to join our innovative team. Great career growth and learning opportunities.,"React Native, Flutter, Android, iOS, Firebase, API Integration, Kotlin",2.2,Any Graduate,Jaipur,17-36 LPA,Contract
25,AI Research Intern,Infosys,Seeking a talented AI Research Intern to join our innovative team. Great career growth and learning opportunities.,"Python, Machine Learning, Research, PyTorch, Mathematics, Deep Learning, NLP",1.6,MCA,Bangalore,20-27 LPA,Internship
26,Database Administrator,TechCorp,Seeking a talented Database Administrator to join our innovative team. Great career growth and learning opportunities.,"SQL, PostgreSQL, MySQL, MongoDB, Database Optimization, Backup Recovery, Redis",0.5,Any Graduate,Mumbai,10-22 LPA,Full-time
27,Blockchain Developer,CloudNine Systems,Seeking a talented Blockchain Developer to join our innovative team. Great career growth and learning opportunities.,"Solidity, Ethereum, Smart Contracts, Web3, Cryptography, JavaScript",3.6,MCA,Lucknow,9-37 LPA,Full-time
28,Platform Engineer,VMware,Seeking a talented Platform Engineer to join our innovative team. Great career growth and learning opportunities.,"Kubernetes, Docker, Terraform, AWS, Infrastructure, Python, Monitoring",3.3,M.Tech,Kochi,9-23 LPA,Full-time
29,Security Engineer,Cognizant,Seeking a talented Security Engineer to join our innovative team. Great career growth and learning opportunities.,"Penetration Testing, Security Tools, Python, Linux, Cryptography, Networking",3.0,M.Tech,Mumbai,6-21 LPA,Contract
30,Blockchain Developer,DigitalDynamics,Seeking a talented Blockchain Developer to join our innovative team. Great career growth and learning opportunities.,"Solidity, Ethereum, Smart Contracts, Web3, Cryptography, JavaScript",1.7,B.Tech,Nagpur,17-24 LPA,Contract
31,Cloud Engineer,Wipro,Seeking a talented Cloud Engineer to join our innovative team. Great career growth and learning opportunities.,"AWS, Azure, Google Cloud, Terraform, Kubernetes, Linux, Networking, Python",3.2,BCA,Indore,20-23 LPA,Full-time
32,NLP Engineer,TechCorp,Seeking a talented NLP Engineer to join our innovative team. Great career growth and learning opportunities.,"Python, NLP, NLTK, spaCy, Transformers, BERT, Deep Learning, TensorFlow",6.8,B.Tech,Chennai,16-35 LPA,Contract
33,UI/UX Designer,Google,Seeking a talented UI/UX Designer to join our innovative team. Great career growth and learning opportunities.,"Figma, Adobe XD, Sketch, UI Design, UX Research, Prototyping, Wireframing",6.3,B.Tech,Chandigarh,3-32 LPA,Full-time
34,Technical Writer,Tech Mahindra,Seeking a talented Technical Writer to join our innovative team. Great career growth and learning opportunities.,"Documentation, Technical Writing, Markdown, Git, API Documentation, Communication",3.0,Any Graduate,Nagpur,18-24 LPA,Full-time
35,Product Manager,AlphaCode,Seeking a talented Product Manager to join our innovative team. Great career growth and learning opportunities.,"Product Strategy, Agile, Stakeholder Management, Market Research, Communication, SQL",6.8,B.Sc CS,Nagpur,4-30 LPA,Full-time
36,Machine Learning Engineer,Red Hat,Seeking a talented Machine Learning Engineer to join our innovative team. Great career growth and learning opportunities.,"Python, TensorFlow, PyTorch, Deep Learning, NLP, Computer Vision, MLOps",3.3,B.Sc CS,Chennai,4-36 LPA,Full-time
37,Cloud Engineer,CloudNine Systems,Seeking a talented Cloud Engineer to join our innovative team. Great career growth and learning opportunities.,"AWS, Azure, Google Cloud, Terraform, Kubernetes, Linux, Networking, Python",4.2,Any Graduate,Noida,15-23 LPA,Internship
38,Quality Assurance Engineer,Red Hat,Seeking a talented Quality Assurance Engineer to join our innovative team. Great career growth and learning opportunities.,"Selenium, Testing, Java, Python, Automation, JIRA, Manual Testing",4.2,B.Sc CS,Delhi,16-38 LPA,Internship
39,Computer Vision Engineer,Accenture,Seeking a talented Computer Vision Engineer to join our innovative team. Great career growth and learning opportunities.,"Python, OpenCV, TensorFlow, PyTorch, Deep Learning, Image Processing, CNN",6.5,B.Tech,Ahmedabad,10-28 LPA,Contract
40,Software Engineer,Zoom,Seeking a talented Software Engineer to join our innovative team. Great career growth and learning opportunities.,"Java, Python, Data Structures, Algorithms, OOP, Git, Problem Solving",4.5,M.Tech,Ahmedabad,5-20 LPA,Contract
41,Integration Engineer,VMware,Seeking a talented Integration Engineer to join our innovative team. Great career growth and learning opportunities.,"API Integration, Middleware, ETL, Python, Java, REST API, Microservices",7.0,BCA,Nagpur,9-36 LPA,Full-time
42,Software Engineer,Cognizant,Seeking a talented Software Engineer to join our innovative team. Great career growth and learning opportunities.,"Java, Python, Data Structures, Algorithms, OOP, Git, Problem Solving",6.2,B.Tech,Jaipur,12-25 LPA,Contract
43,NLP Engineer,PayPal,Seeking a talented NLP Engineer to join our innovative team. Great career growth and learning opportunities.,"Python, NLP, NLTK, spaCy, Transformers, BERT, Deep Learning, TensorFlow",2.1,Any Graduate,Bhopal,3-37 LPA,Full-time
44,DevOps Engineer,InnovateLabs,Seeking a talented DevOps Engineer to join our innovative team. Great career growth and learning opportunities.,"Docker, Kubernetes, Jenkins, AWS, Linux, CI/CD, Terraform, Ansible",1.9,BCA,Nagpur,7-28 LPA,Full-time
45,Performance Engineer,AlphaCode,Seeking a talented Performance Engineer to join our innovative team. Great career growth and learning opportunities.,"Performance Testing, JMeter, LoadRunner, Python, Monitoring, Optimization",5.0,B.Tech,Gurugram,19-35 LPA,Full-time
46,Machine Learning Engineer,CodeFactory,Seeking a talented Machine Learning Engineer to join our innovative team. Great career growth and learning opportunities.,"Python, TensorFlow, PyTorch, Deep Learning, NLP, Computer Vision, MLOps",4.4,MCA,Mumbai,3-30 LPA,Full-time
47,Cybersecurity Analyst,ByteBuilders,Seeking a talented Cybersecurity Analyst to join our innovative team. Great career growth and learning opportunities.,"Network Security, Ethical Hacking, Firewalls, Security Audits, Python, Linux",5.2,B.Sc CS,Kochi,20-20 LPA,Full-time
48,Frontend Developer,GitLab,Seeking a talented Frontend Developer to join our innovative team. Great career growth and learning opportunities.,"JavaScript, React, HTML, CSS, TypeScript, Redux, Webpack, Tailwind",6.3,B.Sc CS,Mumbai,14-38 LPA,Internship
49,Web Developer,Apple,Seeking a talented Web Developer to join our innovative team. Great career growth and learning opportunities.,"HTML, CSS, JavaScript, PHP, MySQL, WordPress, jQuery, Bootstrap",0.9,MCA,Jaipur,4-31 LPA,Full-time
50,Quality Assurance Engineer,Zoom,Seeking a talented Quality Assurance Engineer to join our innovative team. Great career growth and learning opportunities.,"Selenium, Testing, Java, Python, Automation, JIRA, Manual Testing",0.7,B.Sc CS,Kochi,7-27 LPA,Full-time
51,Cloud Engineer,Meta,Seeking a talented Cloud Engineer to join our innovative team. Great career growth and learning opportunities.,"AWS, Azure, Google Cloud, Terraform, Kubernetes, Linux, Networking, Python",0.2,Any Graduate,Ahmedabad,16-27 LPA,Full-time
52,Data Analyst,GitLab,Seeking a talented Data Analyst to join our innovative team. Great career growth and learning opportunities.,"Python, SQL, Excel, Tableau, Power BI, Statistics, Pandas, Data Visualization",0.8,BCA,Lucknow,10-26 LPA,Contract
53,IoT Engineer,HCL Technologies,Seeking a talented IoT Engineer to join our innovative team. Great career growth and learning opportunities.,"Embedded Systems, Arduino, Raspberry Pi, C, Python, MQTT, Sensors",5.7,B.Tech,Noida,3-26 LPA,Contract
54,Blockchain Developer,Wipro,Seeking a talented Blockchain Developer to join our innovative team. Great career growth and learning opportunities.,"Solidity, Ethereum, Smart Contracts, Web3, Cryptography, JavaScript",6.1,MCA,Jaipur,19-32 LPA,Internship
55,Blockchain Developer,DataSolutions Inc,Seeking a talented Blockchain Developer to join our innovative team. Great career growth and learning opportunities.,"Solidity, Ethereum, Smart Contracts, Web3, Cryptography, JavaScript",0.8,MCA,Chennai,11-21 LPA,Full-time
56,Performance Engineer,Apple,Seeking a talented Performance Engineer to join our innovative team. Great career growth and learning opportunities.,"Performance Testing, JMeter, LoadRunner, Python, Monitoring, Optimization",2.4,MCA,Kochi,19-23 LPA,Contract
57,Platform Engineer,Quantum Systems,Seeking a talented Platform Engineer to join our innovative team. Great career growth and learning opportunities.,"Kubernetes, Docker, Terraform, AWS, Infrastructure, Python, Monitoring",1.8,Any Graduate,Kochi,3-36 LPA,Internship
58,Mobile App Developer,Amazon,Seeking a talented Mobile App Developer to join our innovative team. Great career growth and learning opportunities.,"React Native, Flutter, Android, iOS, Firebase, API Integration, Kotlin",3.0,Any Graduate,Ahmedabad,13-23 LPA,Full-time
59,Embedded Systems Engineer,HCL Technologies,Seeking a talented Embedded Systems Engineer to join our innovative team. Great career growth and learning opportunities.,"C, C++, Embedded C, RTOS, Microcontrollers, Hardware, Debugging",4.7,MCA,Chandigarh,12-37 LPA,Full-time
60,Mobile App Developer,Meta,Seeking a talented Mobile App Developer to join our innovative team. Great career growth and learning opportunities.,"React Native, Flutter, Android, iOS, Firebase, API Integration, Kotlin",4.7,M.Tech,Chennai,12-32 LPA,Internship
61,Python Developer,HCL Technologies,Seeking a talented Python Developer to join our innovative team. Great career growth and learning opportunities.,"Python, Django, Flask, REST API, PostgreSQL, Git, Docker",2.0,M.Tech,Coimbatore,13-34 LPA,Contract
62,Solutions Architect,Atlassian,Seeking a talented Solutions Architect to join our innovative team. Great career growth and learning opportunities.,"AWS, Architecture Design, Microservices, Cloud, System Design, Python",1.5,M.Tech,Chennai,5-29 LPA,Internship
63,Integration Engineer,Capgemini,Seeking a talented Integration Engineer to join our innovative team. Great career growth and learning opportunities.,"API Integration, Middleware, ETL, Python, Java, REST API, Microservices",0.7,B.Tech,Kolkata,10-26 LPA,Full-time
64,Data Scientist,AI Innovations,Seeking a talented Data Scientist to join our innovative team. Great career growth and learning opportunities.,"Python, Machine Learning, Statistics, Pandas, NumPy, Scikit-learn, TensorFlow, SQL",1.7,M.Tech,Visakhapatnam,5-34 LPA,Contract
65,Platform Engineer,Quantum Systems,Seeking a talented Platform Engineer to join our innovative team. Great career growth and learning opportunities.,"Kubernetes, Docker, Terraform, AWS, Infrastructure, Python, Monitoring",5.0,M.Tech,Lucknow,15-27 LPA,Full-time
66,Python Developer,Shopify,Seeking a talented Python Developer to join our innovative team. Great career growth and learning opportunities.,"Python, Django, Flask, REST API, PostgreSQL, Git, Docker",6.0,BCA,Kochi,10-25 LPA,Internship
67,Technical Writer,WebWorks Ltd,Seeking a talented Technical Writer to join our innovative team. Great career growth and learning opportunities.,"Documentation, Technical Writing, Markdown, Git, API Documentation, Communication",3.9,BCA,Indore,7-34 LPA,Internship
68,Automation Engineer,Uber,Seeking a talented Automation Engineer to join our innovative team. Great career growth and learning opportunities.,"Python, Selenium, Robot Framework, Test Automation, CI/CD, Jenkins",2.2,M.Tech,Visakhapatnam,19-33 LPA,Internship
69,Solutions Architect,ByteBuilders,Seeking a talented Solutions Architect to join our innovative team. Great career growth and learning opportunities.,"AWS, Architecture Design, Microservices, Cloud, System Design, Python",5.2,M.Tech,Indore,11-27 LPA,Full-time
70,Computer Vision Engineer,Oracle,Seeking a talented Computer Vision Engineer to join our innovative team. Great career growth and learning opportunities.,"Python, OpenCV, TensorFlow, PyTorch, Deep Learning, Image Processing, CNN",4.4,MCA,Indore,5-29 LPA,Full-time
71,Business Analyst,Capgemini,Seeking a talented Business Analyst to join our innovative team. Great career growth and learning opportunities.,"SQL, Excel, Business Intelligence, Requirements Analysis, Communication, Agile",2.2,B.Sc CS,Delhi,7-24 LPA,Full-time
72,Site Reliability Engineer,GitLab,Seeking a talented Site Reliability Engineer to join our innovative team. Great career growth and learning opportunities.,"Linux, Python, Kubernetes, Monitoring, Prometheus, Grafana, Docker",1.1,B.Tech,Delhi,16-33 LPA,Full-time
73,NLP Engineer,Adobe,Seeking a talented NLP Engineer to join our innovative team. Great career growth and learning opportunities.,"Python, NLP, NLTK, spaCy, Transformers, BERT, Deep Learning, TensorFlow",2.9,B.Tech,Kochi,15-38 LPA,Full-time
74,Platform Engineer,Microsoft,Seeking a talented Platform Engineer to join our innovative team. Great career growth and learning opportunities.,"Kubernetes, Docker, Terraform, AWS, Infrastructure, Python, Monitoring",3.3,MCA,Kolkata,15-33 LPA,Internship
75,NLP Engineer,Uber,Seeking a talented NLP Engineer to join our innovative team. Great career growth and learning opportunities.,"Python, NLP, NLTK, spaCy, Transformers, BERT, Deep Learning, TensorFlow",6.3,M.Tech,Noida,11-33 LPA,Contract
76,Data Scientist,Microsoft,Seeking a talented Data Scientist to join our innovative team. Great career growth and learning opportunities.,"Python, Machine Learning, Statistics, Pandas, NumPy, Scikit-learn, TensorFlow, SQL",2.4,Any Graduate,Chandigarh,8-34 LPA,Full-time
77,Integration Engineer,Intel,Seeking a talented Integration Engineer to join our innovative team. Great career growth and learning opportunities.,"API Integration, Middleware, ETL, Python, Java, REST API, Microservices",0.2,M.Tech,Coimbatore,3-22 LPA,Contract
78,Software Engineer,Adobe,Seeking a talented Software Engineer to join our innovative team. Great career growth and learning opportunities.,"Java, Python, Data Structures, Algorithms, OOP, Git, Problem Solving",1.3,MCA,Chandigarh,13-26 LPA,Contract
79,Game Developer,Capgemini,Seeking a talented Game Developer to join our innovative team. Great career growth and learning opportunities.,"Unity, C#, Unreal Engine, C++, Game Design, 3D Modeling, Physics",5.3,M.Tech,Gurugram,16-28 LPA,Full-time
80,Scrum Master,DataSolutions Inc,Seeking a talented Scrum Master to join our innovative team. Great career growth and learning opportunities.,"Agile, Scrum, JIRA, Leadership, Communication, Project Management, Facilitation",5.2,BCA,Jaipur,10-40 LPA,Full-time
81,Full Stack Developer,Shopify,Seeking a talented Full Stack Developer to join our innovative team. Great career growth and learning opportunities.,"JavaScript, React, Node.js, MongoDB, HTML, CSS, Express, Git",0.2,B.Tech,Remote,3-39 LPA,Full-time
82,Quality Assurance Engineer,InnovateLabs,Seeking a talented Quality Assurance Engineer to join our innovative team. Great career growth and learning opportunities.,"Selenium, Testing, Java, Python, Automation, JIRA, Manual Testing",3.3,BCA,Coimbatore,9-34 LPA,Full-time
83,Network Engineer,ByteBuilders,Seeking a talented Network Engineer to join our innovative team. Great career growth and learning opportunities.,"Networking, Cisco, TCP/IP, Routing, Switching, Firewalls, VPN",4.2,Any Graduate,Hyderabad,8-29 LPA,Full-time
84,Release Engineer,DataSolutions Inc,Seeking a talented Release Engineer to join our innovative team. Great career growth and learning opportunities.,"CI/CD, Jenkins, Git, Docker, Release Management, Automation, Linux",6.5,B.Sc CS,Chandigarh,15-26 LPA,Full-time
85,Release Engineer,GitLab,Seeking a talented Release Engineer to join our innovative team. Great career growth and learning opportunities.,"CI/CD, Jenkins, Git, Docker, Release Management, Automation, Linux",5.8,B.Tech,Hyderabad,12-39 LPA,Full-time
86,Platform Engineer,AI Innovations,Seeking a talented Platform Engineer to join our innovative team. Great career growth and learning opportunities.,"Kubernetes, Docker, Terraform, AWS, Infrastructure, Python, Monitoring",2.4,M.Tech,Jaipur,5-36 LPA,Full-time
87,Python Developer,Meta,Seeking a talented Python Developer to join our innovative team. Great career growth and learning opportunities.,"Python, Django, Flask, REST API, PostgreSQL, Git, Docker",5.8,BCA,Kochi,14-40 LPA,Contract
88,Web Developer,Apple,Seeking a talented Web Developer to join our innovative team. Great career growth and learning opportunities.,"HTML, CSS, JavaScript, PHP, MySQL, WordPress, jQuery, Bootstrap",1.2,B.Sc CS,Gurugram,20-35 LPA,Contract
89,Security Engineer,Stripe,Seeking a talented Security Engineer to join our innovative team. Great career growth and learning opportunities.,"Penetration Testing, Security Tools, Python, Linux, Cryptography, Networking",4.1,MCA,Noida,5-28 LPA,Contract
90,Quality Assurance Engineer,Shopify,Seeking a talented Quality Assurance Engineer to join our innovative team. Great career growth and learning opportunities.,"Selenium, Testing, Java, Python, Automation, JIRA, Manual Testing",3.3,B.Sc CS,Chandigarh,13-20 LPA,Contract
91,Game Developer,NexGen Technologies,Seeking a talented Game Developer to join our innovative team. Great career growth and learning opportunities.,"Unity, C#, Unreal Engine, C++, Game Design, 3D Modeling, Physics",3.4,MCA,Gurugram,13-28 LPA,Internship
92,Business Analyst,Cisco,Seeking a talented Business Analyst to join our innovative team. Great career growth and learning opportunities.,"SQL, Excel, Business Intelligence, Requirements Analysis, Communication, Agile",0.1,B.Tech,Delhi,10-33 LPA,Contract
93,Automation Engineer,Shopify,Seeking a talented Automation Engineer to join our innovative team. Great career growth and learning opportunities.,"Python, Selenium, Robot Framework, Test Automation, CI/CD, Jenkins",1.7,M.Tech,Lucknow,17-20 LPA,Full-time
94,Product Manager,BetaWorks,Seeking a talented Product Manager to join our innovative team. Great career growth and learning opportunities.,"Product Strategy, Agile, Stakeholder Management, Market Research, Communication, SQL",2.8,B.Tech,Kolkata,14-35 LPA,Internship
95,Computer Vision Engineer,Cognizant,Seeking a talented Computer Vision Engineer to join our innovative team. Great career growth and learning opportunities.,"Python, OpenCV, TensorFlow, PyTorch, Deep Learning, Image Processing, CNN",3.0,Any Graduate,Nagpur,13-31 LPA,Contract
96,Business Analyst,HCL Technologies,Seeking a talented Business Analyst to join our innovative team. Great career growth and learning opportunities.,"SQL, Excel, Business Intelligence, Requirements Analysis, Communication, Agile",1.8,BCA,Remote,13-23 LPA,Internship
97,Cloud Engineer,Quantum Systems,Seeking a talented Cloud Engineer to join our innovative team. Great career growth and learning opportunities.,"AWS, Azure, Google Cloud, Terraform, Kubernetes, Linux, Networking, Python",1.5,M.Tech,Gurugram,19-39 LPA,Full-time
98,DevOps Engineer,Quantum Systems,Seeking a talented DevOps Engineer to join our innovative team. Great career growth and learning opportunities.,"Docker, Kubernetes, Jenkins, AWS, Linux, CI/CD, Terraform, Ansible",2.1,MCA,Chennai,12-20 LPA,Internship
99,Software Engineer,Wipro,Seeking a talented Software Engineer to join our innovative team. Great career growth and learning opportunities.,"Java, Python, Data Structures, Algorithms, OOP, Git, Problem Solving",0.3,BCA,Nagpur,12-24 LPA,Contract
