job_id,title,company,description,required_skills,experience_required,min_qualification,location,salary_range,job_type
100,DevOps Engineer,TechCorp,Seeking a talented DevOps Engineer to join our innovative team. Great career growth and learning opportunities.,"Docker, Kubernetes, Jenkins, AWS, Linux, CI/CD, Terraform, Ansible",4.0,M.Tech,Lucknow,17-30 LPA,Full-time
101,Machine Learning Engineer,TCS,Seeking a talented Machine Learning Engineer to join our innovative team. Great career growth and learning opportunities.,"Python, TensorFlow, PyTorch, Deep Learning, NLP, Computer Vision, MLOps",6.6,M.Tech,Hyderabad,5-32 LPA,Contract
102,Frontend Developer,VMware,Seeking a talented Frontend Developer to join our innovative team. Great career growth and learning opportunities.,"JavaScript, React, HTML, CSS, TypeScript, Redux, Webpack, Tailwind",4.4,BCA,Pune,7-38 LPA,Full-time
103,Backend Developer,Infosys,Seeking a talented Backend Developer to join our innovative team. Great career growth and learning opportunities.,"Java, Spring Boot, MySQL, REST API, Microservices, Docker, Kafka",0.8,M.Tech,Visakhapatnam,10-36 LPA,Contract
104,Solutions Architect,Netflix,Seeking a talented Solutions Architect to join our innovative team. Great career growth and learning opportunities.,"AWS, Architecture Design, Microservices, Cloud, System Design, Python",2.1,B.Sc CS,Kochi,12-38 LPA,Internship
105,Machine Learning Engineer,Airbnb,Seeking a talented Machine Learning Engineer to join our innovative team. Great career growth and learning opportunities.,"Python, TensorFlow, PyTorch, Deep Learning, NLP, Computer Vision, MLOps",6.7,BCA,Remote,9-28 LPA,Full-time
106,Data Analyst,Infosys,Seeking a talented Data Analyst to join our innovative team. Great career growth and learning opportunities.,"Python, SQL, Excel, Tableau, Power BI, Statistics, Pandas, Data Visualization",1.2,BCA,Chennai,3-33 LPA,Contract
107,Performance Engineer,Salesforce,Seeking a talented Performance Engineer to join our innovative team. Great career growth and learning opportunities.,"Performance Testing, JMeter, LoadRunner, Python, Monitoring, Optimization",2.0,B.Tech,Kolkata,12-34 LPA,Full-time
108,Database Administrator,TCS,Seeking a talented Database Administrator to join our innovative team. Great career growth and learning opportunities.,"SQL, PostgreSQL, MySQL, MongoDB, Database Optimization, Backup Recovery, Redis",5.5,Any Graduate,Coimbatore,9-33 LPA,Full-time
109,NLP Engineer,BetaWorks,Seeking a talented NLP Engineer to join our innovative team. Great career growth and learning opportunities.,"Python, NLP, NLTK, spaCy, Transformers, BERT, Deep Learning, TensorFlow",4.5,MCA,Pune,5-21 LPA,Full-time
110,System Administrator,Uber,Seeking a talented System Administrator to join our innovative team. Great career growth and learning opportunities.,"Linux, Windows Server, Networking, Bash Scripting, Active Directory, AWS",5.2,B.Sc CS,Kolkata,17-23 LPA,Contract
111,System Administrator,GitLab,Seeking a talented System Administrator to join our innovative team. Great career growth and learning opportunities.,"Linux, Windows Server, Networking, Bash Scripting, Active Directory, AWS",2.8,MCA,Bhopal,20-35 LPA,Contract
112,Backend Developer,Uber,Seeking a talented Backend Developer to join our innovative team. Great career growth and learning opportunities.,"Java, Spring Boot, MySQL, REST API, Microservices, Docker, Kafka",0.3,M.Tech,Ahmedabad,11-20 LPA,Full-time
113,Database Administrator,Atlassian,Seeking a talented Database Administrator to join our innovative team. Great career growth and learning opportunities.,"SQL, PostgreSQL, MySQL, MongoDB, Database Optimization, Backup Recovery, Redis",5.9,B.Sc CS,Coimbatore,3-28 LPA,Internship
114,Full Stack Developer,Shopify,Seeking a talented Full Stack Developer to join our innovative team. Great career growth and learning opportunities.,"JavaScript, React, Node.js, MongoDB, HTML, CSS, Express, Git",5.3,M.Tech,Bhopal,17-28 LPA,Full-time
115,Release Engineer,Apple,Seeking a talented Release Engineer to join our innovative team. Great career growth and learning opportunities.,"CI/CD, Jenkins, Git, Docker, Release Management, Automation, Linux",4.4,M.Tech,Delhi,18-31 LPA,Contract
116,Blockchain Developer,Accenture,Seeking a talented Blockchain Developer to join our innovative team. Great career growth and learning opportunities.,"Solidity, Ethereum, Smart Contracts, Web3, Cryptography, JavaScript",4.7,B.Tech,Ahmedabad,16-35 LPA,Full-time
117,Data Engineer,Shopify,Seeking a talented Data Engineer to join our innovative team. Great career growth and learning opportunities.,"Python, SQL, Apache Spark, Airflow, ETL, Data Warehousing, Kafka",3.9,M.Tech,Delhi,13-28 LPA,Full-time
118,AI Research Intern,Flipkart,Seeking a talented AI Research Intern to join our innovative team. Great career growth and learning opportunities.,"Python, Machine Learning, Research, PyTorch, Mathematics, Deep Learning, NLP",2.8,B.Sc CS,Bangalore,20-34 LPA,Contract
119,Machine Learning Engineer,Quantum Systems,Seeking a talented Machine Learning Engineer to join our innovative team. Great career growth and learning opportunities.,"Python, TensorFlow, PyTorch, Deep Learning, NLP, Computer Vision, MLOps",3.6,B.Sc CS,Lucknow,17-21 LPA,Full-time
120,Business Analyst,Cisco,Seeking a talented Business Analyst to join our innovative team. Great career growth and learning opportunities.,"SQL, Excel, Business Intelligence, Requirements Analysis, Communication, Agile",0.9,MCA,Indore,18-23 LPA,Full-time
121,Performance Engineer,Infosys,Seeking a talented Performance Engineer to join our innovative team. Great career growth and learning opportunities.,"Performance Testing, JMeter, LoadRunner, Python, Monitoring, Optimization",5.0,MCA,Nagpur,3-37 LPA,Contract
122,Backend Developer,BetaWorks,Seeking a talented Backend Developer to join our innovative team. Great career growth and learning opportunities.,"Java, Spring Boot, MySQL, REST API, Microservices, Docker, Kafka",6.9,BCA,Indore,6-40 LPA,Full-time
123,API Developer,PayPal,Seeking a talented API Developer to join our innovative team. Great career growth and learning opportunities.,"REST API, GraphQL, Node.js, Python, API Design, Swagger, Postman",2.0,Any Graduate,Gurugram,16-35 LPA,Contract
124,Quality Assurance Engineer,Adobe,Seeking a talented Quality Assurance Engineer to join our innovative team. Great career growth and learning opportunities.,"Selenium, Testing, Java, Python, Automation, JIRA, Manual Testing",3.9,M.Tech,Remote,19-24 LPA,Full-time
125,Business Analyst,Flipkart,Seeking a talented Business Analyst to join our innovative team. Great career growth and learning opportunities.,"SQL, Excel, Business Intelligence, Requirements Analysis, Communication, Agile",5.5,M.Tech,Ahmedabad,19-28 LPA,Full-time
126,Product Manager,Stripe,Seeking a talented Product Manager to join our innovative team. Great career growth and learning opportunities.,"Product Strategy, Agile, Stakeholder Management, Market Research, Communication, SQL",2.1,B.Sc CS,Coimbatore,18-24 LPA,Contract
127,NLP Engineer,Salesforce,Seeking a talented NLP Engineer to join our innovative team. Great career growth and learning opportunities.,"Python, NLP, NLTK, spaCy, Transformers, BERT, Deep Learning, TensorFlow",2.4,B.Sc CS,Nagpur,15-34 LPA,Full-time
128,Mobile App Developer,GitLab,Seeking a talented Mobile App Developer to join our innovative team. Great career growth and learning opportunities.,"React Native, Flutter, Android, iOS, Firebase, API Integration, Kotlin",1.7,M.Tech,Noida,16-21 LPA,Full-time
129,Scrum Master,PayPal,Seeking a talented Scrum Master to join our innovative team. Great career growth and learning opportunities.,"Agile, Scrum, JIRA, Leadership, Communication, Project Management, Facilitation",6.4,M.Tech,Chandigarh,7-35 LPA,Full-time
130,Software Engineer,IBM,Seeking a talented Software Engineer to join our innovative team. Great career growth and learning opportunities.,"Java, Python, Data Structures, Algorithms, OOP, Git, Problem Solving",6.8,MCA,Hyderabad,17-23 LPA,Internship
131,Technical Writer,TechCorp,Seeking a talented Technical Writer to join our innovative team. Great career growth and learning opportunities.,"Documentation, Technical Writing, Markdown, Git, API Documentation, Communication",5.1,M.Tech,Pune,5-35 LPA,Full-time
132,Blockchain Developer,Airbnb,Seeking a talented Blockchain Developer to join our innovative team. Great career growth and learning opportunities.,"Solidity, Ethereum, Smart Contracts, Web3, Cryptography, JavaScript",4.8,Any Graduate,Delhi,13-37 LPA,Contract
133,Game Developer,Spotify,Seeking a talented Game Developer to join our innovative team. Great career growth and learning opportunities.,"Unity, C#, Unreal Engine, C++, Game Design, 3D Modeling, Physics",5.0,M.Tech,Nagpur,4-39 LPA,Full-time
134,Quality Assurance Engineer,Spotify,Seeking a talented Quality Assurance Engineer to join our innovative team. Great career growth and learning opportunities.,"Selenium, Testing, Java, Python, Automation, JIRA, Manual Testing",4.8,MCA,Noida,5-33 LPA,Full-time
135,DevOps Engineer,Netflix,Seeking a talented DevOps Engineer to join our innovative team. Great career growth and learning opportunities.,"Docker, Kubernetes, Jenkins, AWS, Linux, CI/CD, Terraform, Ansible",1.2,MCA,Bangalore,4-30 LPA,Full-time
136,Product Manager,Cognizant,Seeking a talented Product Manager to join our innovative team. Great career growth and learning opportunities.,"Product Strategy, Agile, Stakeholder Management, Market Research, Communication, SQL",2.6,B.Tech,Noida,19-33 LPA,Internship
137,Cloud Engineer,ByteBuilders,Seeking a talented Cloud Engineer to join our innovative team. Great career growth and learning opportunities.,"AWS, Azure, Google Cloud, Terraform, Kubernetes, Linux, Networking, Python",1.2,B.Sc CS,Chandigarh,10-35 LPA,Internship
138,Web Developer,BetaWorks,Seeking a talented Web Developer to join our innovative team. Great career growth and learning opportunities.,"HTML, CSS, JavaScript, PHP, MySQL, WordPress, jQuery, Bootstrap",3.2,MCA,Indore,11-20 LPA,Contract
139,Product Manager,Atlassian,Seeking a talented Product Manager to join our innovative team. Great career growth and learning opportunities.,"Product Strategy, Agile, Stakeholder Management, Market Research, Communication, SQL",3.8,BCA,Indore,14-38 LPA,Full-time
140,Security Engineer,GitLab,Seeking a talented Security Engineer to join our innovative team. Great career growth and learning opportunities.,"Penetration Testing, Security Tools, Python, Linux, Cryptography, Networking",1.8,MCA,Remote,15-35 LPA,Full-time
141,Quality Assurance Engineer,Microsoft,Seeking a talented Quality Assurance Engineer to join our innovative team. Great career growth and learning opportunities.,"Selenium, Testing, Java, Python, Automation, JIRA, Manual Testing",4.0,B.Sc CS,Kolkata,12-20 LPA,Contract
142,Business Analyst,TechCorp,Seeking a talented Business Analyst to join our innovative team. Great career growth and learning opportunities.,"SQL, Excel, Business Intelligence, Requirements Analysis, Communication, Agile",4.0,Any Graduate,Mumbai,18-29 LPA,Full-time
143,Performance Engineer,Cognizant,Seeking a talented Performance Engineer to join our innovative team. Great career growth and learning opportunities.,"Performance Testing, JMeter, LoadRunner, Python, Monitoring, Optimization",1.5,B.Tech,Visakhapatnam,11-24 LPA,Full-time
144,Full Stack Developer,HCL Technologies,Seeking a talented Full Stack Developer to join our innovative team. Great career growth and learning opportunities.,"JavaScript, React, Node.js, MongoDB, HTML, CSS, Express, Git",5.5,BCA,Coimbatore,14-24 LPA,Full-time
145,Product Manager,Accenture,Seeking a talented Product Manager to join our innovative team. Great career growth and learning opportunities.,"Product Strategy, Agile, Stakeholder Management, Market Research, Communication, SQL",5.2,B.Tech,Remote,7-37 LPA,Full-time
146,Computer Vision Engineer,IBM,Seeking a talented Computer Vision Engineer to join our innovative team. Great career growth and learning opportunities.,"Python, OpenCV, TensorFlow, PyTorch, Deep Learning, Image Processing, CNN",6.4,B.Tech,Gurugram,18-29 LPA,Full-time
147,AI Research Intern,Adobe,Seeking a talented AI Research Intern to join our innovative team. Great career growth and learning opportunities.,"Python, Machine Learning, Research, PyTorch, Mathematics, Deep Learning, NLP",6.7,B.Tech,Noida,15-37 LPA,Full-time
148,Backend Developer,Google,Seeking a talented Backend Developer to join our innovative team. Great career growth and learning opportunities.,"Java, Spring Boot, MySQL, REST API, Microservices, Docker, Kafka",0.1,B.Sc CS,Hyderabad,17-31 LPA,Full-time
149,Release Engineer,Microsoft,Seeking a talented Release Engineer to join our innovative team. Great career growth and learning opportunities.,"CI/CD, Jenkins, Git, Docker, Release Management, Automation, Linux",5.8,MCA,Hyderabad,10-35 LPA,Full-time
150,Integration Engineer,Cisco,Seeking a talented Integration Engineer to join our innovative team. Great career growth and learning opportunities.,"API Integration, Middleware, ETL, Python, Java, REST API, Microservices",2.3,B.Sc CS,Noida,5-40 LPA,Contract
151,System Administrator,Slack,Seeking a talented System Administrator to join our innovative team. Great career growth and learning opportunities.,"Linux, Windows Server, Networking, Bash Scripting, Active Directory, AWS",2.9,B.Tech,Mumbai,4-29 LPA,Contract
152,AI Research Intern,DigitalDynamics,Seeking a talented AI Research Intern to join our innovative team. Great career growth and learning opportunities.,"Python, Machine Learning, Research, PyTorch, Mathematics, Deep Learning, NLP",1.6,B.Sc CS,Pune,15-34 LPA,Full-time
153,NLP Engineer,Meta,Seeking a talented NLP Engineer to join our innovative team. Great career growth and learning opportunities.,"Python, NLP, NLTK, spaCy, Transformers, BERT, Deep Learning, TensorFlow",4.1,Any Graduate,Pune,16-40 LPA,Full-time
154,API Developer,Airbnb,Seeking a talented API Developer to join our innovative team. Great career growth and learning opportunities.,"REST API, GraphQL, Node.js, Python, API Design, Swagger, Postman",2.9,MCA,Mumbai,14-26 LPA,Contract
155,Solutions Architect,Infosys,Seeking a talented Solutions Architect to join our innovative team. Great career growth and learning opportunities.,"AWS, Architecture Design, Microservices, Cloud, System Design, Python",6.0,BCA,Jaipur,20-40 LPA,Full-time
156,Machine Learning Engineer,Google,Seeking a talented Machine Learning Engineer to join our innovative team. Great career growth and learning opportunities.,"Python, TensorFlow, PyTorch, Deep Learning, NLP, Computer Vision, MLOps",1.9,BCA,Indore,5-26 LPA,Internship
157,Data Scientist,WebWorks Ltd,Seeking a talented Data Scientist to join our innovative team. Great career growth and learning opportunities.,"Python, Machine Learning, Statistics, Pandas, NumPy, Scikit-learn, TensorFlow, SQL",5.5,B.Tech,Pune,9-22 LPA,Internship
158,UI/UX Designer,Red Hat,Seeking a talented UI/UX Designer to join our innovative team. Great career growth and learning opportunities.,"Figma, Adobe XD, Sketch, UI Design, UX Research, Prototyping, Wireframing",1.5,B.Tech,Ahmedabad,7-39 LPA,Full-time
159,Business Analyst,FutureSoft,Seeking a talented Business Analyst to join our innovative team. Great career growth and learning opportunities.,"SQL, Excel, Business Intelligence, Requirements Analysis, Communication, Agile",6.9,B.Sc CS,Gurugram,8-23 LPA,Full-time
160,Software Engineer,TechCorp,Seeking a talented Software Engineer to join our innovative team. Great career growth and learning opportunities.,"Java, Python, Data Structures, Algorithms, OOP, Git, Problem Solving",2.5,B.Tech,Coimbatore,13-20 LPA,Full-time
161,Cybersecurity Analyst,WebWorks Ltd,Seeking a talented Cybersecurity Analyst to join our innovative team. Great career growth and learning opportunities.,"Network Security, Ethical Hacking, Firewalls, Security Audits, Python, Linux",0.9,M.Tech,Bhopal,6-22 LPA,Contract
162,Solutions Architect,Flipkart,Seeking a talented Solutions Architect to join our innovative team. Great career growth and learning opportunities.,"AWS, Architecture Design, Microservices, Cloud, System Design, Python",2.5,B.Sc CS,Hyderabad,17-36 LPA,Full-time
163,Integration Engineer,AI Innovations,Seeking a talented Integration Engineer to join our innovative team. Great career growth and learning opportunities.,"API Integration, Middleware, ETL, Python, Java, REST API, Microservices",5.1,Any Graduate,Bhopal,12-34 LPA,Full-time
164,Machine Learning Engineer,Salesforce,Seeking a talented Machine Learning Engineer to join our innovative team. Great career growth and learning opportunities.,"Python, TensorFlow, PyTorch, Deep Learning, NLP, Computer Vision, MLOps",5.9,M.Tech,Hyderabad,18-34 LPA,Full-time
165,Backend Developer,Accenture,Seeking a talented Backend Developer to join our innovative team. Great career growth and learning opportunities.,"Java, Spring Boot, MySQL, REST API, Microservices, Docker, Kafka",4.3,BCA,Pune,11-39 LPA,Internship
166,Automation Engineer,PayPal,Seeking a talented Automation Engineer to join our innovative team. Great career growth and learning opportunities.,"Python, Selenium, Robot Framework, Test Automation, CI/CD, Jenkins",2.3,B.Sc CS,Bhopal,12-34 LPA,Internship
167,Performance Engineer,Apple,Seeking a talented Performance Engineer to join our innovative team. Great career growth and learning opportunities.,"Performance Testing, JMeter, LoadRunner, Python, Monitoring, Optimization",0.7,Any Graduate,Hyderabad,20-26 LPA,Contract
168,Solutions Architect,BetaWorks,Seeking a talented Solutions Architect to join our innovative team. Great career growth and learning opportunities.,"AWS, Architecture Design, Microservices, Cloud, System Design, Python",2.9,M.Tech,Chandigarh,16-23 LPA,Full-time
169,Security Engineer,Accenture,Seeking a talented Security Engineer to join our innovative team. Great career growth and learning opportunities.,"Penetration Testing, Security Tools, Python, Linux, Cryptography, Networking",4.7,MCA,Pune,18-22 LPA,Full-time
170,Backend Developer,CodeFactory,Seeking a talented Backend Developer to join our innovative team. Great career growth and learning opportunities.,"Java, Spring Boot, MySQL, REST API, Microservices, Docker, Kafka",3.0,Any Graduate,Jaipur,7-37 LPA,Full-time
171,Release Engineer,Cisco,Seeking a talented Release Engineer to join our innovative team. Great career growth and learning opportunities.,"CI/CD, Jenkins, Git, Docker, Release Management, Automation, Linux",3.9,Any Graduate,Hyderabad,16-31 LPA,Contract
172,Machine Learning Engineer,Tech Mahindra,Seeking a talented Machine Learning Engineer to join our innovative team. Great career growth and learning opportunities.,"Python, TensorFlow, PyTorch, Deep Learning, NLP, Computer Vision, MLOps",4.2,MCA,Hyderabad,19-26 LPA,Full-time
173,Scrum Master,BetaWorks,Seeking a talented Scrum Master to join our innovative team. Great career growth and learning opportunities.,"Agile, Scrum, JIRA, Leadership, Communication, Project Management, Facilitation",5.9,MCA,Nagpur,14-23 LPA,Full-time
174,Platform Engineer,BetaWorks,Seeking a talented Platform Engineer to join our innovative team. Great career growth and learning opportunities.,"Kubernetes, Docker, Terraform, AWS, Infrastructure, Python, Monitoring",5.7,B.Sc CS,Visakhapatnam,20-20 LPA,Internship
175,Business Analyst,DataSolutions Inc,Seeking a talented Business Analyst to join our innovative team. Great career growth and learning opportunities.,"SQL, Excel, Business Intelligence, Requirements Analysis, Communication, Agile",1.3,Any Graduate,Kolkata,13-31 LPA,Full-time
176,Cloud Engineer,FutureSoft,Seeking a talented Cloud Engineer to join our innovative team. Great career growth and learning opportunities.,"AWS, Azure, Google Cloud, Terraform, Kubernetes, Linux, Networking, Python",4.0,M.Tech,Delhi,7-40 LPA,Full-time
177,Backend Developer,Square,Seeking a talented Backend Developer to join our innovative team. Great career growth and learning opportunities.,"Java, Spring Boot, MySQL, REST API, Microservices, Docker, Kafka",3.7,M.Tech,Kochi,17-30 LPA,Full-time
178,Network Engineer,HCL Technologies,Seeking a talented Network Engineer to join our innovative team. Great career growth and learning opportunities.,"Networking, Cisco, TCP/IP, Routing, Switching, Firewalls, VPN",5.1,B.Sc CS,Visakhapatnam,5-21 LPA,Full-time
179,Data Analyst,Shopify,Seeking a talented Data Analyst to join our innovative team. Great career growth and learning opportunities.,"Python, SQL, Excel, Tableau, Power BI, Statistics, Pandas, Data Visualization",4.3,Any Graduate,Delhi,11-34 LPA,Contract
180,API Developer,Uber,Seeking a talented API Developer to join our innovative team. Great career growth and learning opportunities.,"REST API, GraphQL, Node.js, Python, API Design, Swagger, Postman",3.1,MCA,Remote,19-23 LPA,Full-time
181,Security Engineer,SmartTech,Seeking a talented Security Engineer to join our innovative team. Great career growth and learning opportunities.,"Penetration Testing, Security Tools, Python, Linux, Cryptography, Networking",2.0,Any Graduate,Coimbatore,18-36 LPA,Full-time
182,Full Stack Developer,BetaWorks,Seeking a talented Full Stack Developer to join our innovative team. Great career growth and learning opportunities.,"JavaScript, React, Node.js, MongoDB, HTML, CSS, Express, Git",2.8,B.Sc CS,Mumbai,3-26 LPA,Full-time
183,UI/UX Designer,Flipkart,Seeking a talented UI/UX Designer to join our innovative team. Great career growth and learning opportunities.,"Figma, Adobe XD, Sketch, UI Design, UX Research, Prototyping, Wireframing",1.0,MCA,Kolkata,13-23 LPA,Full-time
184,API Developer,Square,Seeking a talented API Developer to join our innovative team. Great career growth and learning opportunities.,"REST API, GraphQL, Node.js, Python, API Design, Swagger, Postman",3.0,B.Tech,Chandigarh,20-27 LPA,Internship
185,Automation Engineer,Zoom,Seeking a talented Automation Engineer to join our innovative team. Great career growth and learning opportunities.,"Python, Selenium, Robot Framework, Test Automation, CI/CD, Jenkins",5.6,BCA,Chandigarh,4-33 LPA,Full-time
186,Technical Writer,CloudNine Systems,Seeking a talented Technical Writer to join our innovative team. Great career growth and learning opportunities.,"Documentation, Technical Writing, Markdown, Git, API Documentation, Communication",6.0,B.Sc CS,Kochi,15-40 LPA,Contract
187,Product Manager,SmartTech,Seeking a talented Product Manager to join our innovative team. Great career growth and learning opportunities.,"Product Strategy, Agile, Stakeholder Management, Market Research, Communication, SQL",2.8,MCA,Chennai,17-31 LPA,Full-time
188,Security Engineer,DigitalDynamics,Seeking a talented Security Engineer to join our innovative team. Great career growth and learning opportunities.,"Penetration Testing, Security Tools, Python, Linux, Cryptography, Networking",1.7,B.Sc CS,Chandigarh,19-22 LPA,Contract
189,System Administrator,Square,Seeking a talented System Administrator to join our innovative team. Great career growth and learning opportunities.,"Linux, Windows Server, Networking, Bash Scripting, Active Directory, AWS",2.4,MCA,Chennai,5-36 LPA,Full-time
190,Computer Vision Engineer,IBM,Seeking a talented Computer Vision Engineer to join our innovative team. Great career growth and learning opportunities.,"Python, OpenCV, TensorFlow, PyTorch, Deep Learning, Image Processing, CNN",1.4,MCA,Jaipur,7-27 LPA,Full-time
191,Web Developer,TCS,Seeking a talented Web Developer to join our innovative team. Great career growth and learning opportunities.,"HTML, CSS, JavaScript, PHP, MySQL, WordPress, jQuery, Bootstrap",1.4,B.Sc CS,Pune,5-25 LPA,Contract
192,Technical Writer,Shopify,Seeking a talented Technical Writer to join our innovative team. Great career growth and learning opportunities.,"Documentation, Technical Writing, Markdown, Git, API Documentation, Communication",3.9,B.Sc CS,Indore,13-40 LPA,Full-time
193,Web Developer,Netflix,Seeking a talented Web Developer to join our innovative team. Great career growth and learning opportunities.,"HTML, CSS, JavaScript, PHP, MySQL, WordPress, jQuery, Bootstrap",0.5,M.Tech,Kolkata,11-38 LPA,Full-time
194,IoT Engineer,IBM,Seeking a talented IoT Engineer to join our innovative team. Great career growth and learning opportunities.,"Embedded Systems, Arduino, Raspberry Pi, C, Python, MQTT, Sensors",0.5,M.Tech,Indore,4-21 LPA,Full-time
195,Product Manager,CloudNine Systems,Seeking a talented Product Manager to join our innovative team. Great career growth and learning opportunities.,"Product Strategy, Agile, Stakeholder Management, Market Research, Communication, SQL",4.5,BCA,Visakhapatnam,19-32 LPA,Contract
196,Release Engineer,Cisco,Seeking a talented Release Engineer to join our innovative team. Great career growth and learning opportunities.,"CI/CD, Jenkins, Git, Docker, Release Management, Automation, Linux",6.7,Any Graduate,Mumbai,17-38 LPA,Full-time
197,Game Developer,Uber,Seeking a talented Game Developer to join our innovative team. Great career growth and learning opportunities.,"Unity, C#, Unreal Engine, C++, Game Design, 3D Modeling, Physics",3.3,B.Tech,Mumbai,17-23 LPA,Full-time
198,Backend Developer,IBM,Seeking a talented Backend Developer to join our innovative team. Great career growth and learning opportunities.,"Java, Spring Boot, MySQL, REST API, Microservices, Docker, Kafka",4.5,BCA,Noida,17-34 LPA,Internship
199,Computer Vision Engineer,Airbnb,Seeking a talented Computer Vision Engineer to join our innovative team. Great career growth and learning opportunities.,"Python, OpenCV, TensorFlow, PyTorch, Deep Learning, Image Processing, CNN",1.1,MCA,Kolkata,15-33 LPA,Full-time
200,Performance Engineer,WebWorks Ltd,Seeking a talented Performance Engineer to join our innovative team. Great career growth and learning opportunities.,"Performance Testing, JMeter, LoadRunner, Python, Monitoring, Optimization",5.5,Any Graduate,Ahmedabad,5-30 LPA,Full-time
